id,token,voter,grantAddress,amount,amountUSD,coefficient,last_score_timestamp,rawScore
0x6b3f3c7696a81263ea523ac9f1e184631298b8878baaf7c39035b021cb55bd7e,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0x31fb226689b2e8d650269c8d142eb4bc43155a93,0x5041a1c1dcc760337e99b03db60feaf5f6f6c802,1e+18,0.99883616,0,2023-08-21T13:35:08,29.125
0x8fdebf8f9b8e5dab321e1dc7b471bbc82406e8b6f7f16d211e06dd1cf2a0f5fa,0x0000000000000000000000000000000000000000,0xfcbc07905fee2d64025461b8ddb27f77f256827f,0x763d7d362b59aea3858a92a302e18cd41b1252d4,2500000000000000.0,4.57147664,0,2023-08-15T20:56:25,13.338
0x8fdebf8f9b8e5dab321e1dc7b471bbc82406e8b6f7f16d211e06dd1cf2a0f5fa,0x0000000000000000000000000000000000000000,0xfcbc07905fee2d64025461b8ddb27f77f256827f,0x29567bdbcc92acf37ac6b56b69180857bb69f7d1,2500000000000000.0,4.57147664,0,2023-08-15T20:56:25,13.338
0x8fdebf8f9b8e5dab321e1dc7b471bbc82406e8b6f7f16d211e06dd1cf2a0f5fa,0x0000000000000000000000000000000000000000,0xfcbc07905fee2d64025461b8ddb27f77f256827f,0xfa2ba43521c72cc5594d725373b0c03fa3661922,2500000000000000.0,4.57147664,0,2023-08-15T20:56:25,13.338
0x89a9482b6ec6c776dba59eaa19afc5f8be1f8511b382fcd1c1e53ec67928da70,0x0000000000000000000000000000000000000000,0x61987699055394c65355f2797d3e4e589f7fabf4,0xa1f01e5cc9562ed061b0e3dddd3e82ef69a1cebd,600000000000000.0,1.10379104,0,2023-08-15T12:56:14,29.289
0x89a9482b6ec6c776dba59eaa19afc5f8be1f8511b382fcd1c1e53ec67928da70,0x0000000000000000000000000000000000000000,0x61987699055394c65355f2797d3e4e589f7fabf4,0x97d25ce39d27fbafc60c3bf50f2675c0eed71b5c,600000000000000.0,1.10379104,0,2023-08-15T12:56:14,29.289
0x89a9482b6ec6c776dba59eaa19afc5f8be1f8511b382fcd1c1e53ec67928da70,0x0000000000000000000000000000000000000000,0x61987699055394c65355f2797d3e4e589f7fabf4,0x4f8c531df3d97c6cd437ac8dfe756975445d1161,600000000000000.0,1.10379104,0,2023-08-15T12:56:14,29.289
0x3d11092c7e6db555222841a600db5cd01c34c33cfeac83c09e759696692f1dc8,0x0000000000000000000000000000000000000000,0xfe7892119a039cc956b16adf4fd3e18feb75e205,0x80b1b27e94ddbd687f5200dd48c408d7e5f53740,10000000000000.0,0.01827917,0,2023-08-16T04:15:46,17.237
0xd045d401d9845ce8c10794e0c403ec6847104d0cd2eb084a4c9c978e2900df46,0x0000000000000000000000000000000000000000,0x76587d7d77a8093938d74131866e053361234ec2,0x80b1b27e94ddbd687f5200dd48c408d7e5f53740,600000000000000.0,1.07809157,0,2023-08-17T06:04:45,25.495
0x7054fb2f1612ae38f1563230a94a44dc076d881cfd2f0ececd37e03bfd9739f1,0x0000000000000000000000000000000000000000,0x18f37350b7a64dea310d397d926c1751f67c9da2,0x80b1b27e94ddbd687f5200dd48c408d7e5f53740,2720000000000000.0,5.00129279,1,2023-08-17T09:18:32,22.747
0xa1459e371a90e3c7941b6a0f82c3ff043d4db46b7d90b188118be65f867d38f7,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1,0xf275c6078c3db4b7b69d3beece1207388f025687,0xa1f01e5cc9562ed061b0e3dddd3e82ef69a1cebd,2e+18,1.99939702,1,2023-08-21T17:33:13,25.05
0x947ff1866b694fa65cfa1178689c60cdda64c4a86b36165e181c2ea410506c73,0x0000000000000000000000000000000000000000,0x60892b82c1296947b80f80ebdafe0980465574d9,0x4c1a316de360e08817eb88dd31a0e7305005fb65,500000000000000.0,0.91198195,0,2023-08-08T13:18:34,21.669
0xf75158a00048f786394149cbe70659350d1c4e87744f017bcdb7a0e658e7e6ce,0x0000000000000000000000000000000000000000,0x028a158d9b47ebedeaa17b67c7444ae1c82405d0,0x99d5ce23335bffc8289f67eb2723270776f2785e,1500000000000000.0,2.69539257,0,2023-08-17T08:00:59,8.92
