id,projectId,applicationId,roundId,token,voter,grantAddress,amount,amountUSD,coefficient,status,last_score_timestamp,type,success,rawScore,threshold
0x24a5bbf100c33c84d6adf041b80650a27e0f8a9739d6089ed5252495337680ab,0x64a30a4b92a54a2ad5b7cb48106104d3eb1ca743dd095834b8fdf3fb18ef380d,19,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x9ba961989dd6609ed091f512be947118c40f2291,0xA26d6AEB775a9528c012B748ACe66E3B0FD574cE,5000000000000000.0,9.18433236,2,DONE,2023-04-25T13:48:59.888771+00:00,ThresholdScoreCheck,True,28.57,15
0x3dce13bb4ed8831dfe3382d745ed593a70a5830dcc3cad0c8e7b3e77e63f1ada,0xc401c980df990c4153febcf89b1b78428be1e1f5020d1c72d21b9c818f5ab2a5,6,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x9390fa8656a161442928b442300358d82bec28b0,0x9390fA8656A161442928b442300358D82bEC28b0,2200000000000000.0,4.09456656,1,DONE,2023-04-25T16:55:55.447871+00:00,ThresholdScoreCheck,True,27.21,15
0x4cf20243021a45a1a493358b75ef147e264aee102ad09c53d1cf33baac958760,0x97589cd10d5be47bef0513d22cbd9ecb9ce06ec6f9baf2369ff1758b6572d525,7,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x5136cdfc4d2b1a74774f5137095f82f88af5ec99,0x0035cC37599241D007D0AbA1Fb931C5FA757f7A1,4e+16,74.44666476,1,DONE,2023-04-25T17:25:19.667155+00:00,ThresholdScoreCheck,True,28.57,15
0x2b032f10cb65d0b9efb758931efb30571f83b076e57325248dda779e542d40ea,0xec0268451dd3c3ef3b527ef6478f0e89eb4741103ce75045f16951d285f1e84a,16,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x524cb61b52414a8413e6edec12891b11f71a711d,0x45b79C6bbE15363E87C948823cca846f1baDB280,3000000000000000.0,5.58349985,1,DONE,2023-04-25T17:07:33.303578+00:00,ThresholdScoreCheck,True,23.56,15
0x0842753b06ff41ad8507a64154262ca08edd7ad6f551889f365417cdc40c6af1,0xa9bdf73843d882ce496bae1a489c905e26339d987c08a074c26defddb463c924,29,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x524cb61b52414a8413e6edec12891b11f71a711d,0x5041A1C1DCC760337e99B03DB60FeAF5f6f6c802,3000000000000000.0,5.58349985,1,DONE,2023-04-25T17:07:33.303578+00:00,ThresholdScoreCheck,True,23.56,15
0x9b3b977e62a42626316255689153b5448d547b132d953d62a373fda51a0b2be7,0x4cd41869f9b2d95c05e2cb13643f1ab7ae05ebd439349c0024aeba44a249b1d8,25,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0xbc6940bc2dce2647196c983c3cba65a532df6875,0xBEC643BD5b7F5e9190617CA4187ef0455950C51C,1200000000000000.0,2.24373909,1,DONE,2023-04-25T15:24:59.600194+00:00,ThresholdScoreCheck,True,24.11,15
0x1112f6c1e0d8a88e6e5ca6af851056c88311d31e63c48910f851ea554147de91,0x97589cd10d5be47bef0513d22cbd9ecb9ce06ec6f9baf2369ff1758b6572d525,7,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xa2a2602bc84371e6a7af8b88467e8b3f10aa7658,0x0035cC37599241D007D0AbA1Fb931C5FA757f7A1,1.2e+18,1.20100375,1,DONE,2023-04-24T22:16:10.688415+00:00,ThresholdScoreCheck,True,41.42,15
0x67d76b4e55eb9347c3c524371094af25c7b8e4d1375a8c9bde2a42efc4024ba1,0xe6424ab2ed95b21ba758a64a72e3a4583a01cad6b12419420ae7286c70ecae83,22,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x6B175474E89094C44Da98b954EedeAC495271d0F,0xa2a2602bc84371e6a7af8b88467e8b3f10aa7658,0x8110d1D04ac316fdCACe8f24fD60C86b810AB15A,1.2e+18,1.20100375,1,DONE,2023-04-24T22:16:10.688415+00:00,ThresholdScoreCheck,True,41.42,15
0xd6ec39232762eb3832c4e9126efeb8e337145e0715e7095f18c26ed359eb4f3e,0xdd9b885de249b8da5ea670b7d2effafae15def2aae0a69a7166f3905ab7fba78,13,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x3e31155a1c17c9f85e74828447aec412090a4622,0x75D923fBbC9d224ad4a92c370dCC60043010648f,2000000000000000.0,3.72995,2,DONE,2023-04-26T00:23:22.857289+00:00,ThresholdScoreCheck,True,39.85,15
0x0bf4e197b0382a2cdd104b14c63a42bfb41d12fe05db294ecc70bd1b9ffd5907,0x5351510d27a8f718634daa6d1311fcaac5c59830f2b2b79556bd22c4c5461de5,2,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x3e31155a1c17c9f85e74828447aec412090a4622,0x9bcF35BD44Cd5902bfa0738b7B2de12d09CC2DC9,2000000000000000.0,3.72995,2,DONE,2023-04-26T00:23:22.857289+00:00,ThresholdScoreCheck,True,39.85,15
0x899e966d12356009193b5a6c0a8e104e851e33f11afa16481eb223eb5e9c2cdd,0xa9bdf73843d882ce496bae1a489c905e26339d987c08a074c26defddb463c924,29,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x3e31155a1c17c9f85e74828447aec412090a4622,0x5041A1C1DCC760337e99B03DB60FeAF5f6f6c802,2000000000000000.0,3.72995,2,DONE,2023-04-26T00:23:22.857289+00:00,ThresholdScoreCheck,True,39.85,15
0x9a16cff819d50fb0fc2fc5424005fc35085a97ffded192a461090ba40f634047,0x8d6f0c7bda15baeb4e11fd284ad7a186def0a60a4559d34f127b66dd76bbf83d,3,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x3e31155a1c17c9f85e74828447aec412090a4622,0x808DB7C11EeF7aed8314bcCe208239bf9358f36C,2000000000000000.0,3.72995,2,DONE,2023-04-26T00:23:22.857289+00:00,ThresholdScoreCheck,True,39.85,15
0x9434f1509c6a89542767e01edd66b0c58c95f99e40151f5f54d77ade928efec6,0x233875674213fdf6a86f91602122ef1176b9ccf282182c1cfe6943509a26f6e8,9,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x3e31155a1c17c9f85e74828447aec412090a4622,0xbbD107D7717F9D8556aa0abd444Bc8AE6e288956,2000000000000000.0,3.72995,2,DONE,2023-04-26T00:23:22.857289+00:00,ThresholdScoreCheck,True,39.85,15
0x43380ed49cf2f5025a01a3498b0ef8c58be703eb311f2e925e3d57a5db98767e,0xe8249a10575570ac6d76202cff5c1e127d72359ad7235bb61039c125402263aa,14,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x3e31155a1c17c9f85e74828447aec412090a4622,0x9b55D80Af9dd8D23C372915Ad55c010799010b4d,2000000000000000.0,3.72995,2,DONE,2023-04-26T00:23:22.857289+00:00,ThresholdScoreCheck,True,39.85,15
0xfa44e37176d4b357150129b6da6ec34990cf1f27c3581ef6c3f186da7b4c9efe,0xec0268451dd3c3ef3b527ef6478f0e89eb4741103ce75045f16951d285f1e84a,16,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x3e31155a1c17c9f85e74828447aec412090a4622,0x45b79C6bbE15363E87C948823cca846f1baDB280,2000000000000000.0,3.72995,2,DONE,2023-04-26T00:23:22.857289+00:00,ThresholdScoreCheck,True,39.85,15
0xcdb40f3033234de1da881c52e542e138ee5b883ec8d936034f9ec07a76a0f50d,0xc401c980df990c4153febcf89b1b78428be1e1f5020d1c72d21b9c818f5ab2a5,6,0x9E669c0A6e075F14ba9d9D98C3580aD67E20ec38,0x0000000000000000000000000000000000000000,0x56c246b01fbd17695a8579e8b3f0e4f7a1e9ccfc,0x9390fA8656A161442928b442300358D82bEC28b0,5000000000000000.0,9.33301146,1,DONE,2023-04-25T18:59:56.208391+00:00,ThresholdScoreCheck,True,25.02,15
